comment,majority_vote_final,index,clean_comment
only in 2025 will normal luxury midsize family suv's do the quarter mile faster than the lamborghini gallardo,neutral,70,2025 normal luxury midsize family suv quarter mile faster lamborghini gallardo
"Crossovers between niches (gaming + music, news + commentary) reach wider audiences",neutral,71,crossover niche game music news commentary reach wider audience
Am I the only one that thinks the Audi looks by far the best??,positive,72,one think audi look far best
Matt is a BMW fanboy,neutral,73,matt bmw fanboy
"I would get VW Touareg Diesel 286 hp, immense torque, or BMW X5 50e....",neutral,74,would get vw touareg diesel 286 hp immense torque bmw x5 50e
"prices of these cars are insane even for europe, in india the X5 costs 140k pounds, the gle 140k pounds, Q7 120k, Cayenne is just on another level because its a fully built car costing 190k for the base model with absolutely no options. Crazy isnt it?",negative,75,price car insane even europe india x5 cost 140k pound gle 140k pound q7 120k cayenne another level fully build car cost 190k base model absolutely no option crazy not
"maybe focus on important stuff? Reliability, longevity, simplicity, car parts prices, ect ect?
Complaining about something being manual is beyond dumb, we don't need everything to be electric ad powered, its nightmare when breaks, and it will break
Anyway, worst car here is by far Mercedes, friend got one and he was at dealer about 60 times in 3 years, for various mostly electric problems
best is for sure BMW, best 3.0 diesel on the market, as it will last 800 000 km easy when maintained, seen many with this mileage
ofc best option would be Lexus RX, but not even listed here",neutral,76,maybe focus important stuff reliability longevity simplicity car part price ect ect complain something manual beyond dumb not need everything electric ad power nightmare break break anyway bad car far mercedes friend get one dealer 60 time 3 year various mostly electric problem best sure bmw best 3 0 diesel market last 800 000 km easy maintain see many mileage course best option would lexus rx but not even list
Sooooo where’s the Lexus ??,neutral,77,sooooo lexus
Very uplifting.,positive,78,very uplifting
Q7,neutral,79,q7
The BMW channel ?,neutral,80,bmw channel
X5 100%,neutral,81,x5 100
Porsche❤️,neutral,82,porsche
"I am getting a new ‘26 X5 I just ordered. A replacement for a wonderful brand new Q8 Prestige that got broadsided and I know the car will never be the same, plus it has been in the shop for 3 months still getting fixed.  If money were no object the Porsche wins hands down.  I think the looks of the Q8 are better than the X5 or X6.  However, the overall capabilities of the X5 are probably better.  I really like Audi’s though and recognize that I do not drive outside the car so the bland looks of the SQ5 I had before did not matter one whit.  It is a better overall car than the X3 50.",positive,83,get new 26 x5 order replacement wonderful brand new q8 prestige get broadside know car never plus shop 3 month still get fix money no object porsche win hand think look q8 well x5 x6 however overall capability x5 probably well really like audi though recognize not drive outside car bland look sq5 not matter one whit well overall car x3 50
porsche obviously!!!,neutral,84,porsche obviously
Wish porsche had a 7 seater option especially in petrol or diesel not bloody electric shit,negative,85,wish porsche 7 seater option especially petrol diesel not bloody electric shit
So sq7 is the best one ?,positive,86,sq7 best one
Porsche�,neutral,87,porsche
Btw where's the range rover sport,neutral,88,way range rover sport
Where is opel?,neutral,89,opel
"""Have they made it from scrotums?"" ��",neutral,90,make scrotum
Which one is the fastest ?,neutral,91,one fast
3 of them r the same thing different skin,neutral,92,3 r thing different skin
I would take the merc,neutral,93,would take merc
"11:42 how do you don’t look good either from the outside they have good friend, but ugliest rear design. �",positive,94,11 42 not look good either outside good friend but ugly rear design
"Why are we buying so big SUVs, if they don’t have a good rear seats comfort?",positive,95,buy big suv not good rear seat comfort
10:00 I think Audi has the best thighs support too,positive,96,10 00 think audi best thigh support
"6:25 yes, course, Porsche do look the ugliest of the lot",neutral,97,6 25 yes course porsche look ugly lot
personally i prefer audi,neutral,98,personally prefer audi
There’s actually three Volkswagens a BMW and a Mercedes…..,neutral,99,actually three volkswagens bmw mercedes
M50d would of smoked every car here,neutral,100,m50d would smoke every car
Why didn't you use x7 ?,neutral,101,not use x7
"It's unfair to compare these luxury brands as each has its unique strengths and loyal customer base, sparking endless debates among car enthusiasts.",neutral,102,unfair compare luxury brand unique strength loyal customer base spark endless debate among car enthusiast
Till Germany understands that they need to be reliable I'm not touching any of them,negative,103,till germany understands need reliable not touch
The audi not wining  is crazy  considering  it's price,negative,104,audi not win crazy consider price
Dacia,neutral,105,dacia
i have one fantastic �,positive,106,one fantastic
"None of them.  Th BMW is deeply ugly, the Mercedes-Benz looks flumperstonic, the Porsche is flat ugly, the Audi looks like it is made of plastic and the VW is about as imposing and exciting car as a body in a coffin.

Cars of today are not good. They are resource hungry, they are overpriced and the build quality of them is rubbish.

I stick to my Subaru Legacy JDM Estate on 2007 plate.  Never had a single thing go wrong with it.  That is called a quality car from a bygone era.  I also own a BMW 335i Saloon on a 2011 plate.  Another older car, but the build quality is exceptional in comparison to current day BMWs.  The build quality is not to bad on it either. That said though, the build quality of the Legacy is well above that of BMW of that era and certainly the build quality is better than todays cars.

But I am sorry fella, if anyone, including you looks upto these brands, knowing they are resource hungry, knowing they have mass flaws and faults, knowing you drive out of the showroom and lose upto 65% of the value of some of these expensive cars.  It makes no logical sense to buy new or cars from this era now.

Logic says, you buy older, better quality, better built, look better cars from pre 2012, basically, is how I see it.",negative,107,none th bmw deeply ugly mercedes benz look flumperstonic porsche flat ugly audi look like make plastic vw impose exciting car body coffin car today not good resource hungry overprice build quality rubbish stick subaru legacy jdm estate 2007 plate never single thing go wrong call quality car bygone era also bmw 335i saloon 2011 plate another old car but build quality exceptional comparison current day bmws build quality not bad either say though build quality legacy well bmw era certainly build quality well todays car but sorry fella anyone include look upto brand know resource hungry know mass flaw fault know drive showroom lose upto 65 value expensive car make no logical sense buy new car era logic say buy old good quality well build look good car pre 2012 basically see
"price of all of these is simply put....stupid.  If you want to improve you video, please add what type of gearbox and final drive each of these has and the warranties of the drive train.",negative,108,price simply put stupid want improve video please add type gearbox final drive warranty drive train
Which one has the best interior smell?!,positive,109,one best interior smell
"After so many videos and reviews and a long long search I decided that, Volvo xc 60 t8 it is�",positive,110,many video review long long search decide volvo xc 60 t8
"Rather than a popularity contest, comparing specs, reliability, performance, features and head-to-head test drives can reveal the trick.",neutral,111,rather popularity contest compare specs reliability performance feature head head test drive reveal trick
Why would anyone use pounds? Lol. No one cares about pounds and no one understands pounds. Your country is tiny and USA dollars is the worldwide standard. Thumbs down. Use dollars idiot. Even your people in understand dollars.,neutral,112,would anyone use pound lol no one care pound no one understand pound country tiny usa dollar worldwide standard thumb use dollar idiot even people understand dollar
Make a full German SUV car race with Opel � obviously opel will be last but still it would look epic �,neutral,113,make full german suv car race opel obviously opel last but still would look epic
BMW deserves that money,neutral,114,bmw deserve money
King Volvo xc60,neutral,115,king volvo xc60
I LOVE THAT MERCEDES SO MUCH,positive,116,love mercedes much
4:11����������������I'm dead,neutral,117,4 11 dead
4:06��������������,neutral,118,4 06
"As someone whose owned Mercedes, BMW and now Audi, I agree the Mercedes interior looks and feels cheap. As far as interface techy stuff and interior, BMW is the leader. And they don't nickel and dime you on the apps like Audi does. BMW free oil changes, spark plugs, maintenance for 3 years, 1 yr sirius xm and you can do so much on the BMW app on your phone. It's an incredible brand. When I buy another vehicle, it'll be a BMW for sure.",positive,119,someone whose owned mercedes bmw audi agree mercedes interior look feel cheap far interface techy stuff interior bmw leader not nickel dime apps like audi bmw free oil change spark plugs maintenance 3 year 1 yr sirius xm much bmw app phone incredible brand buy another vehicle bmw sure
which car has the comfiest seats?,neutral,120,car comfiest seat
"not gonna lie, I love how the Touareg looks.",positive,121,not go lie love touareg look
"for reliability, I will choose Mercedes Benz, my neighbor she still driving a 77 benz 240 diesel, and my 24 years old 01 CLK430 still running smooth with 230k miles ODO, the 21 GLA45 just bought is fantastic.",positive,122,reliability choose mercedes benz neighbor still drive 77 benz 240 diesel 24 year old 01 clk430 still run smooth 230k mile odo 21 gla45 buy fantastic
The tourage is not even comptetion for the rest,neutral,123,tourage not even comptetion rest
"Not sold on the looks, I think it looks a bit like a hearse, but the BMW seems like a great overall package. A 40d would be nice. Maybe in a bolder colour like metallic blue or red the shape of the BMW would be disguised a bit. Still a lot better than many other recent BMWs looks wise. The beaver toothed grille doesn't look so obvious here.",positive,124,not sell look think looks bit like hearse but bmw seem like great overall package 40d would nice maybe bolder colour like metallic blue red shape bmw would disguise bit still lot well many recent bmws look wise beaver toothed grille not look obvious
"Still, I think the Touareg is a nice car, VW never was a cheap car, the quality is above average",positive,125,still think touareg nice car vw never cheap car quality average
Ill take de vw,neutral,126,ill take de vw
Best judge,positive,127,best judge
가격대비 가치 Q7 승,neutral,128,가격대비 가치 q7 승
I am mercedes fan but i would choose x5 �,neutral,129,mercedes fan but would choose x5
Just get one from IAAI?,neutral,130,get one iaai
"So if money were no object, it would be the Porsche!",neutral,131,money no object would porsche
so biased against Mercedes,neutral,132,bias mercedes
Never thought I'd see the worst 5 brands in one test.,negative,133,never think would see worst 5 brand one test
"As an American I’d love
To know Who the heck is buying the vw instead of the competition???? Vw employees??",positive,134,american would love know heck buying vw instead competition vw employee
Comparing Diesel with Petrol seems a bit stupid....,negative,135,compare diesel petrol seem bit stupid
Volvo!,neutral,136,volvo
"All great brands! Depends on your priorities—BMW for driving fun, Porsche for performance, Mercedes for luxury, Audi for tech, VW for value. What matters most to you?",positive,137,great brand depend priority bmw drive fun porsche performance mercedes luxury audi tech vw value matter
Where is the volvo T8 and the Lexus GX550�,neutral,138,volvo t8 lexus gx550
"""Each brand excels in different areas—BMW for driving dynamics, Porsche for performance, Mercedes for luxury, Audi for tech, and VW for value. Depends on priorities!""  

(149 characters)",neutral,139,brand excels different area bmw drive dynamic porsche performance mercedes luxury audi tech vw value depend priority 149 character
LOVE HOW THEY FREQUENTLY INCLUDE DIESEL ENGINES IN REVIEWS..!!!!!!!!!!! THANKS MAN.!!!!!!!!!!,positive,140,love frequently include diesel engine review thanks man
"Bot the Audi and Porsche 100% bore scoring if parked in snowbelt cold. Esp below -5C they are toast with repeat cold starts, 100% occurrence for Alusil and lokasil blocks.",negative,141,bot audi porsche 100 bore scoring park snowbelt cold esp 5c toast repeat cold start 100 occurrence alusil lokasil block
"Great comparison, well done, without bmw-glasses the comparison test would be objective",positive,142,great comparison well do without bmw glass comparison test would objective
What are those cheap cars that every body can effort? At least in the opinion of the manufacturers. Because the pricing is from another planet.,negative,143,cheap car every body effort least opinion manufacturer price another planet
The cayenne is beauty,neutral,144,cayenne beauty
ooh the compliment about Porsche was personal ��� and every one who watches mats understood the assignment concerning the exhaust of Mercedes ���,neutral,145,ooh compliment porsche personal every one watch mat understood assignment concern exhaust mercedes
Should compare w Q8,neutral,146,compare w q8
None of this german shit is good....made to rob you clean. I strongly encourage to stay away from this shite ....with their all encrypted ecu acess mechanics cost will increase even more,negative,147,none german shit good make rob clean strongly encourage stay away shite encrypted ecu acess mechanic cost increase even more
VW doesnt belong here,neutral,148,vw not belong
"I’m mean the Porsche, Audi, & Volkswagen are in the same family so would have been nice to have more of a different comparison with other brands.",positive,149,mean porsche audi volkswagen family would nice more different comparison brand
"Grazie mille per il tuo video bellissimo,�❤",neutral,150,grazie mille per il tuo video bellissimo
Emmanuel .O. for this  video.  The Audi version is  the best of because  the interior  is very easy ❤❤❤,positive,151,emmanuel video audi version best interior very easy
BMW X5 it's a lovely car,positive,152,bmw x5 lovely car
why x30d why,neutral,153,x30d
“Have they made it from scrotoms” �,neutral,154,make scrotoms
Great review. Audi Q7 stands out for its spaciousness and all-around capabilities.,positive,155,great review audi q7 stand spaciousness around capability
"1. Value for money is the Audi Q7 �
2.BMW X5 looks good on the exterior but interior is outdated doesn’t feel expensive except for the screens and Aircon vents which don’t look too attractive 
3.The GLE is studded with the star grille and flashy chrome but the leather in the vehicle and also the dash design has become quite monotonous and the rear profile doesn’t have that wow factor 
And you don’t buy A SUV for performance you buy it for practicality comfort space and long drives for which I think the Q7 is the best and should be the winner
But as always great job by Mat �",positive,156,1 value money audi q7 2 bmw x5 look good exterior but interior outdated not feel expensive except screen aircon vent not look attractive 3 gle stud star grille flashy chrome but leather vehicle also dash design become quite monotonous rear profile not wow factor not buy suv performance buy practicality comfort space long drive think q7 best winner but always great job mat
Volvo is missing. �,neutral,157,volvo miss
"Wow, great review, very detailed. Thanks for this. I wish you also did with the x6 and gls but great vid",positive,158,wow great review very detailed thanks wish also x6 gls but great vid
"They are all great cars..  For me, it really comes down to the dealer maintenance costs and services with honesty.  From my experiences, almost all the dealers try very hard to run up the bill.   Worst is the BMW which starts to brake down at 4-5 year time period..  Many repairs are between $2-8k each. .   I will not buy BMW for that reason.",neutral,159,great car really come dealer maintenance cost service honesty experience almost dealer try very hard run bill bad bmw start brake 4 5 year time period many repair 2 8k not buy bmw reason
Great over all review of the SUVs  �����,positive,160,great review suv
"Drove them all.
BMW steers the best but small in the back and nervous on the road and not comfy enough
Audi, most space, most comfy, but feels very big and bad seating position
Porsche, all is good but just ugly, had it for 6 months and shamed myself
Mercedes, so comfy I felt sick after driving it, for the rest Ok.
Touraeg, I drive a v8 diesel with 421 hp.  Drive the best of these all and best seating position with masage seats. Looks ok for me, does not draw a lot of attention but under 5 seconds at 100 kmh and still get 1000 kms on a full tank.  Quality is ok but not the best from these cars. But I drove 200.000 km in it and it still feels very good.",negative,161,drive bmw steer best but small back nervous road not comfy enough audi space comfy but feel very big bad seat position porsche good but ugly 6 month sham mercedes comfy felt sick driving rest ok touraeg drive v8 diesel 421 hp drive best best seat position masage seat look ok not draw lot attention but 5 second 100 kmh still get 1000 km full tank quality ok but not best car but drive 200 000 km still feel very good
"These cars were all in the 50/60 k range ten years ago. But then again, hotels, restaurants and even flights have gone up a similar amount. Its just inflation.",neutral,162,car 50 60 k range ten year ago but hotel restaurant even flight go similar amount inflation
3 VW vs Benz vs BMW ���,neutral,163,3 vw v benz v bmw
Bought the BMW with the B58 engine,neutral,164,buy bmw b58 engine
Since you said you prefere BMW more than Mercedes I subscribed,positive,165,since say prefere bmw more mercedes subscribe
Bmw the best,positive,166,bmw best
Hail The AUDI ,neutral,167,hail audi
What's the best money pit?,positive,168,best money pit
Bro bmw was loosing and had the best comeback in history for suv's,positive,169,bro bmw loose best comeback history suv
"@13:27 what’s up with this lame, effeminate “Satisfying” “it satisfying” type of rhetoric?  I’ve never heard real men in my life talk about something “�so satisfying that satisfying.” Stop it!

Great channel and wonderful car content!",positive,170,13 27 lame effeminate satisfy satisfy type rhetoric never hear real men life talk something satisfy satisfy stop great channel wonderful car content
Japanese is the best always,positive,171,japanese best always
I have the BMW x5 30d M and it drives like a charm... �,neutral,172,bmw x5 30d drive like charm
"Bmw wants to much for a 3 yr old lease turn I want one but not at 30,000 plus that's nuts for a 3 year old car Honda ,  an Hyundia are looking better everyday",positive,173,bmw want much 3 yr old lease turn want one but not 30 000 plus nut 3 year old car honda hyundia look good everyday
For me it's either an Audi or the Benz,neutral,174,either audi benz
Guys am i sutpid or is the audio not so much massively larger than the rest because he was supposed to compare the Q5 to X5 and GLE and no the Q7 which is supposed to rival the GLS and X7?,neutral,175,guy sutpid audio not much massively large rest suppose compare q5 x5 gle no q7 suppose rival gls x7
Give me the Audi any time of the day.,neutral,176,give audi time day
How can you do a SUV test and not include a Range Rover?,neutral,177,suv test not include range rover
"The BMW wins ugliest car contest by a wide margin, as usual",positive,178,bmw win ugly car contest wide margin usual
‘Objectively’. The Audi Q7 is the best..,positive,179,objectively audi q7 best
Where is the part of the BMW interior? Editor must worked in Friday afternoon,neutral,180,part bmw interior editor must work friday afternoon
BMW for the win!!!,positive,181,bmw win
Where is the Range Rover Sport,neutral,182,range rover sport
VW makes 3 of the cars here. That’s wild,neutral,183,vw make 3 car wild
Missed out the best of all try the Genesis gv70,positive,184,miss best try genesis gv70
Perfect intro straight to the point,positive,185,perfect intro straight point
And the winner is: � German car!,positive,186,winner german car
Ranking the best German SUVs is like grading which is the best communist country to live in... they all suck!,positive,187,rank best german suv like grade best communist country live suck
"I lost interest when I saw the insane prices and sub 300 hp performance. You would have to be out of your mind to consider any of theses. And just because I am making a point, a brand new Tesla Model Y Performance that knocks all of these into a cocked hat performance wise, has more interior space, no servicing cost, cheaper fuelling costs - all the stuff we know but some continue to be in denial about. fifty six grand on the road or £499 a month. Honestly, these cars are a joke. No wonder none of the world are buying them.",negative,188,lose interest saw insane price sub 300 hp performance would mind consider thesis make point brand new tesla model performance knock cock hat performance wise more interior space no service cost cheap fuelling cost stuff know but continue denial fifty six grand road 499 month honestly car joke no wonder none world buying
"Moral of the drag race ""well, the porsche won.""",neutral,189,moral drag race well porsche
25:45 ���,neutral,190,25 45
Skoda�,neutral,191,skoda
https://youtube.com/clip/Ugkx_hz822Ecm6EqO0HzBwalZJkADs6zw36s?si=FKuFDBvOJhOjKN3Q,neutral,192,
I am going to tell my friends I have a 90k vw. �,neutral,193,go tell friend 90k vw
Agreed. X5 is the best of the bunch,positive,194,agree x5 best bunch
X5 is by far the best looking one,positive,195,x5 far best look one
I wish we could get diesels in the US,neutral,196,wish could get diesel u
where is the range rover sport �,neutral,197,range rover sport
If have the vw,neutral,198,vw
why wasn't the GV80 included?,neutral,199,not gv80 include
Am I the only one surprised whenever the Porsche fanboy doesn't pick that car to win?,positive,200,one surprise whenever porsche fanboy not pick car win
"Bmw won again lol, bmw is on steroid. Winning everytime against competition. I wish i had bought a bmw instead of a GLC 220d. �",positive,201,bmw lol bmw steroid win everytime competition wish buy bmw instead glc 220d
"None of them it is worth the money,honestly.
With price starting 60k without options. �",neutral,202,none worth money honestly price start 60k without option
lütfen türkçe seslendirme ekler misiniz ya da gerçek çeviri.,neutral,203,lütfen türkçe seslendirme ekler misiniz ya da gerçek çeviri
Where’s the Volvo XC90?,neutral,204,volvo xc90
Of course BMW X5 is winner!,positive,205,course bmw x5 winner
"Why are you not comparing apples to apples? Hybrids, diesel and gas??",neutral,206,not compare apple apple hybrid diesel gas
The benz mn,neutral,207,benz mn
What is with this guy and bmw do they bribe him�,neutral,208,guy bmw bribe
Audi is by far the better of the bunch.,positive,209,audi far well bunch
Only the best Mercedes Benz,positive,210,best mercedes benz
If you could add Lexus RX to the mix that would be great :D,positive,211,could add lexus rx mix would great
❤Q7 It’s the o ❤,neutral,212,q7
Gle❤�,neutral,213,gle
Matt's hate for Mercedes and lo e for BMW sometimes clouds his reviews,negative,214,matt hate mercedes lo e bmw sometimes clouds review
But Touareg had soft close I have a Touareg and I have soft close,neutral,215,but touareg soft close touareg soft close
"At the end of the day, I can live with the Audi diesel and the overall comfort package.",neutral,216,end day live audi diesel overall comfort package
VW looks the best and MB,positive,217,vw look best mb
Guys in Europe: its not that those cars got so expensive. Europe is just getting poor. Its too small of a market for producers to care and all other regions of the world are keeping up salary-wise with those prices in their currencies. Brutal truth,negative,218,guy europe not car get expensive europe get poor small market producer care region world keep salary wise price currency brutal truth
"La mayoría son de Alemania 

Traduction:

The major are of Germany",neutral,219,la mayoría son de alemania traduction major germany
"Great video Carwow. Thank you � 
BMW X5 always wins.",positive,220,great video carwow thank bmw x5 always win
Porche cayenne direct,neutral,221,porche cayenne direct
Land Cruiser ❤️ Prado ❤️,neutral,222,land cruiser prado
"I'm disappointed in you Matt!  How can you honestly expect us to believe you review the Audi, BMW, or MBZ  better then the Porsche after admitting you own the Porsche?  Bad form!",negative,223,disappointed matt honestly expect u believe review audi bmw mbz well porsche admit porsche bad form
"Only Benz is the original all others are imitations. Respect for the genius Karl Benz and Bertha Benz, the real name of that car shuld be KBB (Karl Bertha Benz).",neutral,224,benz original others imitation respect genius karl benz bertha benz real name car shuld kbb karl bertha benz
These manufacturers have destroyed their own businesses with overly complicated cars that are hard to repair and last only a few of years on the road compared to older models.....why waste your money on any of these.....,neutral,225,manufacturer destroy business overly complicate car hard repair last year road compare old model waste money
"Best in what..? From the maintenance stand point of view, Porsche is the worst.",neutral,226,best maintenance stand point view porsche worst
My parents have a BMW X7 2023. I love BMW.,positive,227,parent bmw x7 2023 love bmw
"Well none of them are winning any beauty contests, that’s for sure �",positive,228,well none win beauty contest sure
+1 if Matt is the best car reviewer!!,positive,229,1 matt best car reviewer
"You have to be more objective against Mercedes. We now you are bmw guy but if you compare the cars you have to pit your bmw love aside, sir. But putting all aside you are doing great job, love your videos ❤",positive,230,more objective mercedes bmw guy but compare car pit bmw love aside sir but put aside great job love video
Volvo�,neutral,231,volvo
Tf they comparing a Volkswagen ���,neutral,232,tf compare volkswagen
3 of these cars share the same chassis,neutral,233,3 car share chassis
Why the D:/,neutral,234,
"Chinese cars are better than all of them. More features, more reliable, and cheaper to buy and maintain.",positive,235,chinese car well more feature more reliable cheap buy maintain
They're all absolute rubbish compared with a saloon though.,negative,236,absolute rubbish compare saloon though
This is by far the most confusing car videos I’ve ever seen,neutral,237,far confuse car video ever see
Porsche et mercedes best,positive,238,porsche et mercedes best
