comment,majority_vote_final,index,clean_comment,bing_liu_label,sentiwordnet_label
"I went from a Q7 to a new Touareg and then within a year back to a Q7 (SQ7) that was actually 4 years older than the Touareg. My feelings about the Touareg were the same as Matt's. It didnt feel special, it didnt feel as rock solid, it was coarser sounding and the steering wheel mounted touch controls drove me absolutely insane. Particularly the cruise control. Both my Q7s (including the one I sold at 8yo with nearly 100k kms on it) drove and felt nicer than the Touareg.",neutral,30,go q7 new touareg within year back q7 sq7 actually 4 year old touareg feeling touareg matt not feel special not feel rock solid coarser sound steer wheel mount touch control drive absolutely insane particularly cruise control q7s include one sell 8yo nearly 100k km drive felt nice touareg,Positive,Positive
watch this channel to end up hating everyone car made in the market.......,neutral,31,watch channel end hat everyone car make market,Neutral,Neutral
"Difficult choice there. VW automatically go out. 90k for Touareg , no thank you. Audi Q7 is allready old model ....3 left.  I don't know. They are all 3 nice looking cars  I like the Mercedes ,the Cayenne and the BMW. BMW out for the boot .2 left. Porsche skyrockets their prices last 5 years ,so Mercedes is the winner!",neutral,32,difficult choice vw automatically go 90k touareg no thank audi q7 allready old model 3 leave not know 3 nice look car like mercedes cayenne bmw bmw boot 2 leave porsche skyrocket price last 5 year mercedes winner,Positive,Neutral
"U tested the Q7 from Audi, but the X5 and GLE from BMW and Mercedes respectively? Why not the X7 and GLS? Those are the Luxury SUVs from BMW and Mercedes",neutral,33,test q7 audi but x5 gle bmw mercedes respectively not x7 gls luxury suv bmw mercedes,Positive,Negative
No Volvo? Shit test.,negative,34,no volvo shit test,Negative,Negative
"The upholstery on the GLE is absolutely disgraceful. The cheapest ""real"" leather I've ever seen",negative,35,upholstery gle absolutely disgraceful cheap real leather ever see,Negative,Negative
"Mercedes-Benz, the best or nothing1",positive,36,mercedes benz best nothing1,Positive,Positive
Where is rang rover,neutral,37,rang rover,Neutral,Neutral
How do people afford a 100grand suv? Am I just poor?,neutral,38,people afford 100grand suv poor,Neutral,Negative
"Buy the BMW.  The B58 I6 engine in this diesel form will run forever. The B58 gas version is also bulletproof.   Based on USA Consumer Reports 2025-2026 rankings, which include reliability, BMW almost tied Subaru for #1. BMW was #1 in the luxury category.  The only one close in reliability, in this group, is the Porsche but the Porsche parts cost more than gold.",positive,39,buy bmw b58 i6 engine diesel form run forever b58 gas version also bulletproof base usa consumer report 2025 2026 ranking include reliability bmw almost tie subaru 1 bmw 1 luxury category one close reliability group porsche but porsche part cost more gold,Positive,Positive
"I adore the BMW. Before my husband gave me a Cayenne and I fell in love, it was my ideal vehicle.",positive,40,adore bmw husband give cayenne fell love ideal vehicle,Positive,Positive
"20% straight for the government, the biggest winner of every sale",positive,41,20 straight government big winner every sale,Positive,Negative
In EU  Treg is from 54k €�,neutral,42,eu treg 54k,Neutral,Neutral
And where is Lexus rx? �,neutral,43,lexus rx,Neutral,Neutral
BMW���,neutral,44,bmw,Neutral,Neutral
Q7 c es plutôt mercedes GLS,neutral,45,q7 c e plutôt mercedes gls,Neutral,Positive
No Alfa Romeo Stelvio? C'mon...,neutral,46,no alfa romeo stelvio c mon,Neutral,Neutral
heeey Audi isnt just meeh���,neutral,47,heeey audi not meeh,Neutral,Negative
"Carwow, you should incorporate short and long term reliability into your comparisons.",neutral,48,carwow incorporate short long term reliability comparison,Neutral,Positive
"Lol! You can't pretend well enough.  You are definitely interesting to watch, and your personal preference is the Audi. You have always emblemish the Audi negatives while emphasizing on the negatives of the others. You are still making interesting reviews! In the end, nevertheless, I agree with your number 1 choice ��",positive,49,lol not pretend well enough definitely interesting watch personal preference audi always emblemish audi negative emphasize negative others still make interest reviews end nevertheless agree number 1 choice,Positive,Negative
TOUAREG IS MY DREAM CAR �,positive,50,touareg dream car,Neutral,Neutral
He just loves the BMW's,positive,51,love bmw,Positive,Positive
"Mercedes's 450d vs BMW's 40d, Which diesel engine is quieter?",neutral,52,mercedes 450d v bmw 40d diesel engine quieter,Positive,Neutral
Always BMW wins �,positive,53,always bmw win,Positive,Positive
"Anyone who pays more than 50K on any car must have money to throw down the drain, be mad or incredibly stupid",negative,54,anyone pay more 50k car must money throw drain mad incredibly stupid,Negative,Negative
I have a gle 450  best car BMW suck,positive,55,gle 450 best car bmw suck,Neutral,Positive
"You’re a car guy, stop,saying Porsh.",neutral,56,car guy stop say porsh,Neutral,Positive
"Get a Tesla with FSD and let it drive for you. The rest of the cars don't have anything to offer, they are the same, slightly different exterior, slightly different interior, period. Who on earth needs soft closing doors??? Is this your requirement for a luxury car? really?",neutral,57,get tesla fsd let drive rest car not anything offer slightly different exterior slightly different interior period earth need soft closing door requirement luxury car really,Positive,Positive
Where is the Range Rover?,neutral,58,range rover,Neutral,Neutral
Where is Range Rover?,neutral,59,range rover,Neutral,Neutral
i like the old cayenne look,neutral,60,like old cayenne look,Positive,Positive
Best to get the one you like. They all do the same thing and after watching the drag race they all go virtually the same speed. Had an X5 and Q7 now have VW which is a fantastic car!,positive,61,best get one like thing watch drag race go virtually speed x5 q7 vw fantastic car,Positive,Positive
Why so much hate for the touareg? It feels premium and is the most premium car from VW. And the last one has all u want in,negative,62,much hate touareg feel premium premium car vw last one want,Negative,Positive
He knows that the Mercedes is better but he is an absolute BMW fan girl and total sell out...,positive,63,know mercedes well but absolute bmw fan girl total sell,Positive,Positive
bmw all day mofgkas,neutral,64,bmw day mofgkas,Neutral,Neutral
yesssssss,neutral,65,yesssssss,Neutral,Neutral
What the hell is VW doing there????????!!,neutral,66,hell vw,Negative,Negative
"Performance wise - the GLE 450 shouldn’t be competing with the 30d BMW, it should only be the GLE 300, which is a 2L. As both will then be the entry level. If it’s the 450, then test it against the x5 50e",neutral,67,performance wise gle 450 not compete 30d bmw gle 300 2l entry level 450 test x5 50e,Positive,Negative
Story arcs across multiple videos encourage subscription,neutral,68,story arc across multiple videos encourage subscription,Positive,Neutral
I can clearly see Mercedes nowadays is very chinese,neutral,69,clearly see mercedes nowadays very chinese,Positive,Neutral
only in 2025 will normal luxury midsize family suv's do the quarter mile faster than the lamborghini gallardo,neutral,70,2025 normal luxury midsize family suv quarter mile faster lamborghini gallardo,Positive,Negative
"Crossovers between niches (gaming + music, news + commentary) reach wider audiences",neutral,71,crossover niche game music news commentary reach wider audience,Neutral,Positive
Am I the only one that thinks the Audi looks by far the best??,positive,72,one think audi look far best,Positive,Positive
Matt is a BMW fanboy,neutral,73,matt bmw fanboy,Neutral,Negative
"I would get VW Touareg Diesel 286 hp, immense torque, or BMW X5 50e....",neutral,74,would get vw touareg diesel 286 hp immense torque bmw x5 50e,Positive,Positive
"prices of these cars are insane even for europe, in india the X5 costs 140k pounds, the gle 140k pounds, Q7 120k, Cayenne is just on another level because its a fully built car costing 190k for the base model with absolutely no options. Crazy isnt it?",negative,75,price car insane even europe india x5 cost 140k pound gle 140k pound q7 120k cayenne another level fully build car cost 190k base model absolutely no option crazy not,Negative,Negative
"maybe focus on important stuff? Reliability, longevity, simplicity, car parts prices, ect ect?
Complaining about something being manual is beyond dumb, we don't need everything to be electric ad powered, its nightmare when breaks, and it will break
Anyway, worst car here is by far Mercedes, friend got one and he was at dealer about 60 times in 3 years, for various mostly electric problems
best is for sure BMW, best 3.0 diesel on the market, as it will last 800 000 km easy when maintained, seen many with this mileage
ofc best option would be Lexus RX, but not even listed here",neutral,76,maybe focus important stuff reliability longevity simplicity car part price ect ect complain something manual beyond dumb not need everything electric ad power nightmare break break anyway bad car far mercedes friend get one dealer 60 time 3 year various mostly electric problem best sure bmw best 3 0 diesel market last 800 000 km easy maintain see many mileage course best option would lexus rx but not even list,Negative,Positive
Sooooo where’s the Lexus ??,neutral,77,sooooo lexus,Neutral,Neutral
Very uplifting.,positive,78,very uplifting,Positive,Neutral
Q7,neutral,79,q7,Neutral,Neutral
The BMW channel ?,neutral,80,bmw channel,Neutral,Neutral
X5 100%,neutral,81,x5 100,Neutral,Neutral
Porsche❤️,neutral,82,porsche,Neutral,Neutral
"I am getting a new ‘26 X5 I just ordered. A replacement for a wonderful brand new Q8 Prestige that got broadsided and I know the car will never be the same, plus it has been in the shop for 3 months still getting fixed.  If money were no object the Porsche wins hands down.  I think the looks of the Q8 are better than the X5 or X6.  However, the overall capabilities of the X5 are probably better.  I really like Audi’s though and recognize that I do not drive outside the car so the bland looks of the SQ5 I had before did not matter one whit.  It is a better overall car than the X3 50.",positive,83,get new 26 x5 order replacement wonderful brand new q8 prestige get broadside know car never plus shop 3 month still get fix money no object porsche win hand think look q8 well x5 x6 however overall capability x5 probably well really like audi though recognize not drive outside car bland look sq5 not matter one whit well overall car x3 50,Positive,Positive
porsche obviously!!!,neutral,84,porsche obviously,Neutral,Positive
Wish porsche had a 7 seater option especially in petrol or diesel not bloody electric shit,negative,85,wish porsche 7 seater option especially petrol diesel not bloody electric shit,Neutral,Negative
So sq7 is the best one ?,positive,86,sq7 best one,Positive,Positive
Porsche�,neutral,87,porsche,Neutral,Neutral
Btw where's the range rover sport,neutral,88,way range rover sport,Neutral,Neutral
Where is opel?,neutral,89,opel,Neutral,Neutral
"""Have they made it from scrotums?"" ��",neutral,90,make scrotum,Neutral,Neutral
Which one is the fastest ?,neutral,91,one fast,Positive,Neutral
3 of them r the same thing different skin,neutral,92,3 r thing different skin,Neutral,Positive
I would take the merc,neutral,93,would take merc,Neutral,Neutral
"11:42 how do you don’t look good either from the outside they have good friend, but ugliest rear design. �",positive,94,11 42 not look good either outside good friend but ugly rear design,Positive,Positive
"Why are we buying so big SUVs, if they don’t have a good rear seats comfort?",positive,95,buy big suv not good rear seat comfort,Neutral,Negative
10:00 I think Audi has the best thighs support too,positive,96,10 00 think audi best thigh support,Positive,Positive
"6:25 yes, course, Porsche do look the ugliest of the lot",neutral,97,6 25 yes course porsche look ugly lot,Negative,Positive
personally i prefer audi,neutral,98,personally prefer audi,Positive,Positive
There’s actually three Volkswagens a BMW and a Mercedes…..,neutral,99,actually three volkswagens bmw mercedes,Neutral,Positive
M50d would of smoked every car here,neutral,100,m50d would smoke every car,Negative,Neutral
Why didn't you use x7 ?,neutral,101,not use x7,Neutral,Negative
"It's unfair to compare these luxury brands as each has its unique strengths and loyal customer base, sparking endless debates among car enthusiasts.",neutral,102,unfair compare luxury brand unique strength loyal customer base spark endless debate among car enthusiast,Positive,Positive
Till Germany understands that they need to be reliable I'm not touching any of them,negative,103,till germany understands need reliable not touch,Positive,Negative
The audi not wining  is crazy  considering  it's price,negative,104,audi not win crazy consider price,Negative,Negative
Dacia,neutral,105,dacia,Neutral,Neutral
i have one fantastic �,positive,106,one fantastic,Positive,Positive
"None of them.  Th BMW is deeply ugly, the Mercedes-Benz looks flumperstonic, the Porsche is flat ugly, the Audi looks like it is made of plastic and the VW is about as imposing and exciting car as a body in a coffin.

Cars of today are not good. They are resource hungry, they are overpriced and the build quality of them is rubbish.

I stick to my Subaru Legacy JDM Estate on 2007 plate.  Never had a single thing go wrong with it.  That is called a quality car from a bygone era.  I also own a BMW 335i Saloon on a 2011 plate.  Another older car, but the build quality is exceptional in comparison to current day BMWs.  The build quality is not to bad on it either. That said though, the build quality of the Legacy is well above that of BMW of that era and certainly the build quality is better than todays cars.

But I am sorry fella, if anyone, including you looks upto these brands, knowing they are resource hungry, knowing they have mass flaws and faults, knowing you drive out of the showroom and lose upto 65% of the value of some of these expensive cars.  It makes no logical sense to buy new or cars from this era now.

Logic says, you buy older, better quality, better built, look better cars from pre 2012, basically, is how I see it.",negative,107,none th bmw deeply ugly mercedes benz look flumperstonic porsche flat ugly audi look like make plastic vw impose exciting car body coffin car today not good resource hungry overprice build quality rubbish stick subaru legacy jdm estate 2007 plate never single thing go wrong call quality car bygone era also bmw 335i saloon 2011 plate another old car but build quality exceptional comparison current day bmws build quality not bad either say though build quality legacy well bmw era certainly build quality well todays car but sorry fella anyone include look upto brand know resource hungry know mass flaw fault know drive showroom lose upto 65 value expensive car make no logical sense buy new car era logic say buy old good quality well build look good car pre 2012 basically see,Negative,Positive
"price of all of these is simply put....stupid.  If you want to improve you video, please add what type of gearbox and final drive each of these has and the warranties of the drive train.",negative,108,price simply put stupid want improve video please add type gearbox final drive warranty drive train,Neutral,Negative
Which one has the best interior smell?!,positive,109,one best interior smell,Neutral,Positive
"After so many videos and reviews and a long long search I decided that, Volvo xc 60 t8 it is�",positive,110,many video review long long search decide volvo xc 60 t8,Neutral,Neutral
"Rather than a popularity contest, comparing specs, reliability, performance, features and head-to-head test drives can reveal the trick.",neutral,111,rather popularity contest compare specs reliability performance feature head head test drive reveal trick,Negative,Positive
Why would anyone use pounds? Lol. No one cares about pounds and no one understands pounds. Your country is tiny and USA dollars is the worldwide standard. Thumbs down. Use dollars idiot. Even your people in understand dollars.,neutral,112,would anyone use pound lol no one care pound no one understand pound country tiny usa dollar worldwide standard thumb use dollar idiot even people understand dollar,Negative,Positive
Make a full German SUV car race with Opel � obviously opel will be last but still it would look epic �,neutral,113,make full german suv car race opel obviously opel last but still would look epic,Neutral,Positive
BMW deserves that money,neutral,114,bmw deserve money,Neutral,Positive
King Volvo xc60,neutral,115,king volvo xc60,Neutral,Neutral
I LOVE THAT MERCEDES SO MUCH,positive,116,love mercedes much,Positive,Positive
4:11����������������I'm dead,neutral,117,4 11 dead,Negative,Negative
4:06��������������,neutral,118,4 06,Neutral,Neutral
"As someone whose owned Mercedes, BMW and now Audi, I agree the Mercedes interior looks and feels cheap. As far as interface techy stuff and interior, BMW is the leader. And they don't nickel and dime you on the apps like Audi does. BMW free oil changes, spark plugs, maintenance for 3 years, 1 yr sirius xm and you can do so much on the BMW app on your phone. It's an incredible brand. When I buy another vehicle, it'll be a BMW for sure.",positive,119,someone whose owned mercedes bmw audi agree mercedes interior look feel cheap far interface techy stuff interior bmw leader not nickel dime apps like audi bmw free oil change spark plugs maintenance 3 year 1 yr sirius xm much bmw app phone incredible brand buy another vehicle bmw sure,Positive,Positive
which car has the comfiest seats?,neutral,120,car comfiest seat,Neutral,Negative
"not gonna lie, I love how the Touareg looks.",positive,121,not go lie love touareg look,Neutral,Negative
"for reliability, I will choose Mercedes Benz, my neighbor she still driving a 77 benz 240 diesel, and my 24 years old 01 CLK430 still running smooth with 230k miles ODO, the 21 GLA45 just bought is fantastic.",positive,122,reliability choose mercedes benz neighbor still drive 77 benz 240 diesel 24 year old 01 clk430 still run smooth 230k mile odo 21 gla45 buy fantastic,Positive,Positive
The tourage is not even comptetion for the rest,neutral,123,tourage not even comptetion rest,Neutral,Negative
"Not sold on the looks, I think it looks a bit like a hearse, but the BMW seems like a great overall package. A 40d would be nice. Maybe in a bolder colour like metallic blue or red the shape of the BMW would be disguised a bit. Still a lot better than many other recent BMWs looks wise. The beaver toothed grille doesn't look so obvious here.",positive,124,not sell look think looks bit like hearse but bmw seem like great overall package 40d would nice maybe bolder colour like metallic blue red shape bmw would disguise bit still lot well many recent bmws look wise beaver toothed grille not look obvious,Positive,Negative
"Still, I think the Touareg is a nice car, VW never was a cheap car, the quality is above average",positive,125,still think touareg nice car vw never cheap car quality average,Positive,Positive
Ill take de vw,neutral,126,ill take de vw,Neutral,Negative
Best judge,positive,127,best judge,Positive,Positive
가격대비 가치 Q7 승,neutral,128,가격대비 가치 q7 승,Neutral,Neutral
I am mercedes fan but i would choose x5 �,neutral,129,mercedes fan but would choose x5,Neutral,Neutral
Just get one from IAAI?,neutral,130,get one iaai,Neutral,Positive
"So if money were no object, it would be the Porsche!",neutral,131,money no object would porsche,Positive,Neutral
so biased against Mercedes,neutral,132,bias mercedes,Negative,Negative
Never thought I'd see the worst 5 brands in one test.,negative,133,never think would see worst 5 brand one test,Negative,Negative
"As an American I’d love
To know Who the heck is buying the vw instead of the competition???? Vw employees??",positive,134,american would love know heck buying vw instead competition vw employee,Neutral,Positive
Comparing Diesel with Petrol seems a bit stupid....,negative,135,compare diesel petrol seem bit stupid,Negative,Negative
Volvo!,neutral,136,volvo,Neutral,Neutral
"All great brands! Depends on your priorities—BMW for driving fun, Porsche for performance, Mercedes for luxury, Audi for tech, VW for value. What matters most to you?",positive,137,great brand depend priority bmw drive fun porsche performance mercedes luxury audi tech vw value matter,Positive,Positive
Where is the volvo T8 and the Lexus GX550�,neutral,138,volvo t8 lexus gx550,Neutral,Neutral
"""Each brand excels in different areas—BMW for driving dynamics, Porsche for performance, Mercedes for luxury, Audi for tech, and VW for value. Depends on priorities!""  

(149 characters)",neutral,139,brand excels different area bmw drive dynamic porsche performance mercedes luxury audi tech vw value depend priority 149 character,Positive,Positive
LOVE HOW THEY FREQUENTLY INCLUDE DIESEL ENGINES IN REVIEWS..!!!!!!!!!!! THANKS MAN.!!!!!!!!!!,positive,140,love frequently include diesel engine review thanks man,Positive,Positive
"Bot the Audi and Porsche 100% bore scoring if parked in snowbelt cold. Esp below -5C they are toast with repeat cold starts, 100% occurrence for Alusil and lokasil blocks.",negative,141,bot audi porsche 100 bore scoring park snowbelt cold esp 5c toast repeat cold start 100 occurrence alusil lokasil block,Negative,Negative
"Great comparison, well done, without bmw-glasses the comparison test would be objective",positive,142,great comparison well do without bmw glass comparison test would objective,Positive,Neutral
What are those cheap cars that every body can effort? At least in the opinion of the manufacturers. Because the pricing is from another planet.,negative,143,cheap car every body effort least opinion manufacturer price another planet,Negative,Negative
The cayenne is beauty,neutral,144,cayenne beauty,Positive,Positive
ooh the compliment about Porsche was personal ��� and every one who watches mats understood the assignment concerning the exhaust of Mercedes ���,neutral,145,ooh compliment porsche personal every one watch mat understood assignment concern exhaust mercedes,Negative,Positive
Should compare w Q8,neutral,146,compare w q8,Neutral,Positive
None of this german shit is good....made to rob you clean. I strongly encourage to stay away from this shite ....with their all encrypted ecu acess mechanics cost will increase even more,negative,147,none german shit good make rob clean strongly encourage stay away shite encrypted ecu acess mechanic cost increase even more,Positive,Positive
VW doesnt belong here,neutral,148,vw not belong,Neutral,Negative
"I’m mean the Porsche, Audi, & Volkswagen are in the same family so would have been nice to have more of a different comparison with other brands.",positive,149,mean porsche audi volkswagen family would nice more different comparison brand,Positive,Positive
"Grazie mille per il tuo video bellissimo,�❤",neutral,150,grazie mille per il tuo video bellissimo,Neutral,Neutral
Emmanuel .O. for this  video.  The Audi version is  the best of because  the interior  is very easy ❤❤❤,positive,151,emmanuel video audi version best interior very easy,Positive,Positive
BMW X5 it's a lovely car,positive,152,bmw x5 lovely car,Positive,Neutral
why x30d why,neutral,153,x30d,Neutral,Neutral
“Have they made it from scrotoms” �,neutral,154,make scrotoms,Neutral,Positive
Great review. Audi Q7 stands out for its spaciousness and all-around capabilities.,positive,155,great review audi q7 stand spaciousness around capability,Positive,Positive
"1. Value for money is the Audi Q7 �
2.BMW X5 looks good on the exterior but interior is outdated doesn’t feel expensive except for the screens and Aircon vents which don’t look too attractive 
3.The GLE is studded with the star grille and flashy chrome but the leather in the vehicle and also the dash design has become quite monotonous and the rear profile doesn’t have that wow factor 
And you don’t buy A SUV for performance you buy it for practicality comfort space and long drives for which I think the Q7 is the best and should be the winner
But as always great job by Mat �",positive,156,1 value money audi q7 2 bmw x5 look good exterior but interior outdated not feel expensive except screen aircon vent not look attractive 3 gle stud star grille flashy chrome but leather vehicle also dash design become quite monotonous rear profile not wow factor not buy suv performance buy practicality comfort space long drive think q7 best winner but always great job mat,Positive,Negative
Volvo is missing. �,neutral,157,volvo miss,Negative,Neutral
"Wow, great review, very detailed. Thanks for this. I wish you also did with the x6 and gls but great vid",positive,158,wow great review very detailed thanks wish also x6 gls but great vid,Positive,Positive
"They are all great cars..  For me, it really comes down to the dealer maintenance costs and services with honesty.  From my experiences, almost all the dealers try very hard to run up the bill.   Worst is the BMW which starts to brake down at 4-5 year time period..  Many repairs are between $2-8k each. .   I will not buy BMW for that reason.",neutral,159,great car really come dealer maintenance cost service honesty experience almost dealer try very hard run bill bad bmw start brake 4 5 year time period many repair 2 8k not buy bmw reason,Neutral,Negative
Great over all review of the SUVs  �����,positive,160,great review suv,Positive,Positive
"Drove them all.
BMW steers the best but small in the back and nervous on the road and not comfy enough
Audi, most space, most comfy, but feels very big and bad seating position
Porsche, all is good but just ugly, had it for 6 months and shamed myself
Mercedes, so comfy I felt sick after driving it, for the rest Ok.
Touraeg, I drive a v8 diesel with 421 hp.  Drive the best of these all and best seating position with masage seats. Looks ok for me, does not draw a lot of attention but under 5 seconds at 100 kmh and still get 1000 kms on a full tank.  Quality is ok but not the best from these cars. But I drove 200.000 km in it and it still feels very good.",negative,161,drive bmw steer best but small back nervous road not comfy enough audi space comfy but feel very big bad seat position porsche good but ugly 6 month sham mercedes comfy felt sick driving rest ok touraeg drive v8 diesel 421 hp drive best best seat position masage seat look ok not draw lot attention but 5 second 100 kmh still get 1000 km full tank quality ok but not best car but drive 200 000 km still feel very good,Neutral,Negative
"These cars were all in the 50/60 k range ten years ago. But then again, hotels, restaurants and even flights have gone up a similar amount. Its just inflation.",neutral,162,car 50 60 k range ten year ago but hotel restaurant even flight go similar amount inflation,Neutral,Positive
3 VW vs Benz vs BMW ���,neutral,163,3 vw v benz v bmw,Neutral,Neutral
Bought the BMW with the B58 engine,neutral,164,buy bmw b58 engine,Neutral,Neutral
Since you said you prefere BMW more than Mercedes I subscribed,positive,165,since say prefere bmw more mercedes subscribe,Neutral,Neutral
Bmw the best,positive,166,bmw best,Positive,Positive
Hail The AUDI ,neutral,167,hail audi,Positive,Neutral
What's the best money pit?,positive,168,best money pit,Positive,Positive
Bro bmw was loosing and had the best comeback in history for suv's,positive,169,bro bmw loose best comeback history suv,Neutral,Positive
"@13:27 what’s up with this lame, effeminate “Satisfying” “it satisfying” type of rhetoric?  I’ve never heard real men in my life talk about something “�so satisfying that satisfying.” Stop it!

Great channel and wonderful car content!",positive,170,13 27 lame effeminate satisfy satisfy type rhetoric never hear real men life talk something satisfy satisfy stop great channel wonderful car content,Positive,Neutral
Japanese is the best always,positive,171,japanese best always,Positive,Positive
I have the BMW x5 30d M and it drives like a charm... �,neutral,172,bmw x5 30d drive like charm,Positive,Positive
"Bmw wants to much for a 3 yr old lease turn I want one but not at 30,000 plus that's nuts for a 3 year old car Honda ,  an Hyundia are looking better everyday",positive,173,bmw want much 3 yr old lease turn want one but not 30 000 plus nut 3 year old car honda hyundia look good everyday,Positive,Positive
For me it's either an Audi or the Benz,neutral,174,either audi benz,Neutral,Neutral
Guys am i sutpid or is the audio not so much massively larger than the rest because he was supposed to compare the Q5 to X5 and GLE and no the Q7 which is supposed to rival the GLS and X7?,neutral,175,guy sutpid audio not much massively large rest suppose compare q5 x5 gle no q7 suppose rival gls x7,Negative,Negative
Give me the Audi any time of the day.,neutral,176,give audi time day,Neutral,Negative
How can you do a SUV test and not include a Range Rover?,neutral,177,suv test not include range rover,Neutral,Negative
"The BMW wins ugliest car contest by a wide margin, as usual",positive,178,bmw win ugly car contest wide margin usual,Neutral,Positive
‘Objectively’. The Audi Q7 is the best..,positive,179,objectively audi q7 best,Positive,Positive
Where is the part of the BMW interior? Editor must worked in Friday afternoon,neutral,180,part bmw interior editor must work friday afternoon,Positive,Positive
BMW for the win!!!,positive,181,bmw win,Positive,Positive
Where is the Range Rover Sport,neutral,182,range rover sport,Neutral,Neutral
VW makes 3 of the cars here. That’s wild,neutral,183,vw make 3 car wild,Negative,Negative
Missed out the best of all try the Genesis gv70,positive,184,miss best try genesis gv70,Neutral,Positive
Perfect intro straight to the point,positive,185,perfect intro straight point,Positive,Positive
And the winner is: � German car!,positive,186,winner german car,Positive,Neutral
Ranking the best German SUVs is like grading which is the best communist country to live in... they all suck!,positive,187,rank best german suv like grade best communist country live suck,Positive,Positive
"I lost interest when I saw the insane prices and sub 300 hp performance. You would have to be out of your mind to consider any of theses. And just because I am making a point, a brand new Tesla Model Y Performance that knocks all of these into a cocked hat performance wise, has more interior space, no servicing cost, cheaper fuelling costs - all the stuff we know but some continue to be in denial about. fifty six grand on the road or £499 a month. Honestly, these cars are a joke. No wonder none of the world are buying them.",negative,188,lose interest saw insane price sub 300 hp performance would mind consider thesis make point brand new tesla model performance knock cock hat performance wise more interior space no service cost cheap fuelling cost stuff know but continue denial fifty six grand road 499 month honestly car joke no wonder none world buying,Negative,Positive
"Moral of the drag race ""well, the porsche won.""",neutral,189,moral drag race well porsche,Neutral,Positive
25:45 ���,neutral,190,25 45,Neutral,Neutral
Skoda�,neutral,191,skoda,Neutral,Neutral
https://youtube.com/clip/Ugkx_hz822Ecm6EqO0HzBwalZJkADs6zw36s?si=FKuFDBvOJhOjKN3Q,neutral,192,,Neutral,Neutral
I am going to tell my friends I have a 90k vw. �,neutral,193,go tell friend 90k vw,Neutral,Neutral
Agreed. X5 is the best of the bunch,positive,194,agree x5 best bunch,Positive,Positive
X5 is by far the best looking one,positive,195,x5 far best look one,Positive,Positive
I wish we could get diesels in the US,neutral,196,wish could get diesel u,Neutral,Positive
where is the range rover sport �,neutral,197,range rover sport,Neutral,Neutral
If have the vw,neutral,198,vw,Neutral,Neutral
why wasn't the GV80 included?,neutral,199,not gv80 include,Neutral,Negative
Am I the only one surprised whenever the Porsche fanboy doesn't pick that car to win?,positive,200,one surprise whenever porsche fanboy not pick car win,Positive,Negative
