comment,sentiment,claude_sentiment,gemini_sentiment,chatgpt_sentiment,majority_vote_final,index
"Toureg  USA!!! I bought a Phaeton when they first came out, do you think they would send one to me ?",positive,neutral,neutral,positive,positive,427
Matt has been a BMW fan long time ago I'm not suprised he chose X5 while Audi Q7 was the best,positive,negative,positive,negative,negative,432
£89k for a v-dub......hilarious,neutral,negative,neutral,negative,negative,442
"Is it just me, or does the leather on the Mercedes look kind of nasty. The grain looks unnaturally large.",neutral,negative,neutral,negative,negative,449
Correct verdict �,neutral,positive,neutral,positive,positive,454
"He doesn't want to admit that mercedes won the race , he even want the fastest version of the bmw �  should have used the fatest version �� always complaining",neutral,negative,neutral,negative,negative,455
niuce,neutral,positive,neutral,positive,positive,458
Matts spot on about Merc interior and cheap leather! Owned one and done my head in,positive,positive,negative,negative,negative,462
Would rather have a Alfa Romeo stelvio ❤,neutral,positive,neutral,positive,positive,467
Gimme audi all day,neutral,positive,neutral,positive,positive,468
New speed limiters in Europe and the UK are switchable by the driver. But limiter is turned on each time the car is turned on.,positive,neutral,neutral,positive,neutral,471
"23:54 ""And now the Mercedes is cumming"" Say what? LOL",positive,positive,neutral,neutral,positive,475
WV Audi and Porsche has the same coolant tank in the same place :D,positive,neutral,positive,neutral,neutral,476
I’ll keep my Volvo XC90,neutral,positive,neutral,positive,positive,478
I know that BMW will be the winner before I see this video,neutral,neutral,positive,positive,positive,479
Finally i got all cars that im intrested in one video. Thank you Matt,neutral,positive,neutral,positive,positive,482
"Vw, Audi los mejores",neutral,positive,neutral,positive,neutral,484
@carwow: The X5 can be optioned with electrically slidable and reclining rear-seats. It’s included when you spec it as a 7-seater.,neutral,positive,positive,neutral,neutral,488
"That video would've made sense if all the cars had the same engine. Mindblowing, right?",positive,negative,positive,negative,negative,489
"Why bother reviewing other car brands . Every test M Watson does he chose bmw  as the best 
He must be sponsored by them … its  so predictable",positive,negative,positive,negative,negative,493
Grabbing the aliens head lol,positive,positive,neutral,neutral,positive,499
missing RX and XC90,negative,neutral,neutral,negative,neutral,511
Thank you matt Watson for being onest about the bmw.   I will choose that bima all day long,neutral,positive,neutral,positive,positive,514
I will take the bima all day long ���,neutral,positive,neutral,positive,positive,515
The answer is easy…. None of them is best (for the road) because they are agricultural vehicles.,positive,negative,positive,negative,negative,516
Who on EARTH IS PAYING £90K for a V6 VW SUV?,neutral,negative,neutral,negative,negative,524
"Tag team…three VWs
Looks wise I’d go for the toureg and the bmw",positive,neutral,neutral,positive,positive,528
whos spending 89k on a VW �,neutral,negative,neutral,negative,negative,536
XC90 is missing in this test!�,negative,neutral,neutral,negative,neutral,539
"Pointless to hire to a racecar driver to press a button that says launch,  wait for some shouts, then push the gaspedal,  drive for 20 seconds straight ahead on a deserted runway.",neutral,negative,neutral,negative,negative,542
BMW fanboy strikes again...,neutral,negative,neutral,negative,negative,552
"The reality is that people don't need these cars, only their egos do.",neutral,negative,neutral,negative,negative,553
All are junk.,neutral,negative,neutral,negative,negative,557
Missing - Maserati Levante ... should have been in this test .... why not ?? �,negative,neutral,neutral,negative,neutral,571
Nope!! Don’t care for any of them,neutral,negative,neutral,negative,neutral,572
Rather have a fully loaded XC90,neutral,positive,neutral,positive,positive,576
"You should compare not the newest Touareg, you better pick the older one 2021",positive,neutral,positive,neutral,neutral,582
"Audi, the family friendly brand",positive,neutral,neutral,positive,positive,588
"That's not ""people's car"" no more",negative,neutral,neutral,negative,negative,589
These SUVs are just fat wagons. Not even close to a SUV.,neutral,negative,neutral,negative,negative,591
5:55 ���he never misses,neutral,positive,neutral,positive,positive,597
0:04 0:03 мерседес всё же лучше,neutral,positive,neutral,positive,neutral,599
13:16 … ‘back door handling’ is VERY important. ���,positive,neutral,neutral,positive,positive,602
3 of them are maide in Slovakia:). German car:)))),positive,neutral,neutral,positive,neutral,609
If there was no bmw in this test it would’ve still won in Matthew’s opinion�,neutral,negative,neutral,negative,negative,610
These car prices are so high for what you’re getting. Almost £100k and in 6 months your neighbour will have a newer one with those better LED lights �,positive,negative,positive,negative,negative,614
Shame no Alfa or Volvo in the video. Both are interesting cars for their own merits.,positive,neutral,neutral,positive,negative,619
Always BMW,neutral,positive,neutral,positive,positive,620
epic video as always �,neutral,positive,neutral,positive,positive,624
Touaregs are supposed to be affordable cars with a lot of the luxuries and tech from Audi but now it's more expensive than a Q7???,neutral,negative,neutral,negative,negative,626
They're all driven by entitled idiots who need their licences taken off them because they don't know the difference between the road and the pavement so it doesn't matter.,negative,negative,neutral,neutral,negative,627
"I will take the Bimma , Porsche, Mercedes, Audi.",neutral,positive,neutral,positive,positive,628
Wrong you could buy a Land Rover discovery. Cheaper and bigger more room.,neutral,neutral,negative,negative,neutral,629
Bmw always ❤,neutral,positive,neutral,positive,positive,632
Ultimate driving machine wins�,neutral,positive,positive,neutral,positive,637
���,neutral,positive,neutral,positive,neutral,639
I just realised Matt is a VW hater �����������������������������������������,neutral,negative,negative,neutral,negative,644
nothin' wrong with a reach-around Mat,negative,neutral,neutral,negative,neutral,653
"90.000 £ for a tuareg, bruh �",neutral,negative,neutral,negative,negative,655
Missing a LR and a Volvo in the comparison,negative,neutral,neutral,negative,neutral,665
"Why is VW even considered for this comparison? They are not even premium class, you have Audi and Porche as their premium members (built on a same platform).",neutral,negative,neutral,negative,negative,672
What happened at 0:14?? Looks fine to me,positive,neutral,neutral,positive,neutral,679
Imagine paying about 90k for a vw ����,neutral,negative,neutral,negative,negative,684
$90k for a VW......�,neutral,negative,neutral,negative,negative,685
"This was a bit of a joke, clear bias towards the Merc and BMW, I love how Matt and CW have transformed car reviews and testing but they still need to be objective.",positive,negative,positive,negative,negative,686
What a bunch of dinosaurs these 5 are,neutral,negative,neutral,negative,negative,688
It should have been an x7 to compare to all the other cars,negative,neutral,neutral,negative,neutral,689
"These are so old designs, all of them, Q7 and X5 just redesigned, but so little effort went into it.
The interiors are nice, but they are just reused across all models.",positive,negative,positive,negative,negative,697
bmw boys are always be like hypocritically unreasonable,neutral,negative,neutral,negative,negative,698
I can’t see what everyone’s talking about�have they removed it? Am I late for the party?!,negative,neutral,neutral,negative,neutral,704
That audi q7 as low hp than all cars,neutral,negative,neutral,negative,negative,708
Bmw klar und deutlich ��,neutral,positive,neutral,positive,neutral,709
Porsche Cayene the ugliest car in the world,neutral,negative,neutral,negative,negative,715
"None of the X5 tests of Carwow revealed that X5 has the smallest legroom in the second row from all tested vehicles, even smaller than the current X1. This effectively disqualifies it for families with grown-up kids.",positive,negative,positive,negative,negative,719
"Wow, £4K off.",neutral,positive,positive,neutral,positive,720
None of these cars out of warranty is exciting. The Merc has the worse re sale value because they cost way too much to keep on the road out of warranty.,neutral,negative,neutral,negative,negative,726
"Мені чомусь Туарег більш за все сподобався, не знаю чому �",neutral,positive,neutral,positive,neutral,727
My favourite collection of cars...just add range raver to make it complete,neutral,positive,neutral,positive,positive,728
The VW is just not there with the BMW,neutral,negative,neutral,negative,neutral,735
Would have an Audi Q8 or a GLE coupe,neutral,positive,neutral,positive,positive,737
The best 4WD is the Toyota Land Cruiser followed by the Toyota HiLux.  Your selection are mere toys.,positive,negative,positive,negative,positive,741
Porsche always beyond Ahead.,neutral,positive,neutral,positive,positive,745
I'll take the Merc over the rest any day. It looks and feels like a luxurious tank!��,neutral,positive,neutral,positive,positive,754
BMW’ are rubbish! It even looks horrendous!,neutral,negative,neutral,negative,negative,769
Which is best? Anything NOT German.,positive,negative,positive,negative,negative,771
BMW cabin was noisy,neutral,negative,neutral,negative,negative,783
"£90,000 for a VW??????!",neutral,negative,neutral,negative,negative,789
I like this tests,neutral,positive,neutral,positive,positive,790
Wow would never pay that for most of those,positive,negative,positive,negative,negative,792
Bmw for me. I like the audi tho,neutral,positive,neutral,positive,positive,794
100£  with plastics…,neutral,negative,neutral,negative,negative,806
"Oh, look, the BMW fan boy at it again..why I'm I not surprised he chose the BMW..for the millionth time�.. and where's the Range Rover Sport in this test...",neutral,negative,neutral,negative,negative,809
Id go Q7 everytime if it's a Buy car. Bmw or Porsche if it's a rent,neutral,positive,neutral,positive,positive,814
Mat is a BMW fan boy...beamers always win,positive,negative,positive,negative,negative,819
X5 50e for me followed by a cayenne coupe,neutral,positive,neutral,positive,positive,821
Bmw���,neutral,positive,neutral,positive,positive,833
Omfg how are they selling anything? People only lease? Or should we raise taxes massively?,neutral,negative,neutral,negative,negative,842
Why no one talking about how unpractical bmw boot,neutral,negative,neutral,negative,negative,843
"90k on average for these cars is astonishing...how do these car companies justify these prices, especially as none of rhem are that special",neutral,negative,neutral,negative,negative,847
"the level of current electric technology requires an extra 800-900 lbs to be added to the car. Why the heck would I want that in a car, specially in a German car that should handle well? No plug-in hybrids for me. I'll take a normal suv that's 800 lbs lighter.",neutral,negative,neutral,negative,negative,849
"BMW X5 is a very old model from 2018. Hello we have 2024, so within a year or something it will be dead.  That's no.1. No. 2 - X5 has radiculous small space in the second row just like in a compact, but what's more flustrating is the access there - the doors opens at absurdic small angle.",neutral,negative,neutral,negative,negative,850
"Sorry all but i would go home in bmw its just the better car in my opinion, but all of them are silly money � �",negative,positive,positive,negative,positive,857
Mat is so biased towards BMW,neutral,negative,neutral,negative,negative,861
Too much first places for BMW :D,positive,neutral,neutral,positive,positive,862
SUV are S*** just for those trying to get a porfilio,neutral,negative,neutral,negative,negative,864
Tbh all these cars are so expensive but when u look at the used car market cars from 3-4 years old are the similar price to a honda civic it shows that they are just depreciation magnets,negative,neutral,neutral,negative,negative,881
Die Farben sind so langweilig. Wüsste nicht warum man sich solch ein Auto kaufen sollte? Schön ist was anderes,neutral,negative,neutral,negative,neutral,883
Audi any day,neutral,positive,neutral,positive,positive,888
imagine paying close to 90k for a VW,neutral,negative,neutral,negative,negative,889
The Luxury test is made up by how the doors Sound? Really?,positive,negative,positive,negative,negative,915
Germany ��,neutral,positive,neutral,positive,neutral,919
This is a proper test. I like it ��,neutral,positive,neutral,positive,positive,925
"I mean you can't compare the X5's drivetrain to the GLE since it's a normal 30d lol, not a M50d.",positive,neutral,neutral,positive,neutral,938
Porsche looks dated,neutral,negative,neutral,negative,negative,939
I’m really excited for the X5.,positive,positive,neutral,neutral,positive,942
Having VW but not Lexus there is an L,neutral,negative,neutral,negative,negative,949
Bmw loves carwow im sure �,positive,neutral,positive,neutral,positive,950
None.....toyota,neutral,negative,neutral,negative,negative,954
need a GLS if you want three good rows (without a heavily knees up position),positive,neutral,positive,neutral,neutral,958
"Couldn't get an X5 50e or M60i? Doesn't seem fair that its a base model, an underpowered one at that, and the others aren't.",neutral,negative,neutral,negative,negative,975
Average price of these cars can't even buy a 1.3l Honda Jazz in Singapore �,negative,neutral,neutral,negative,negative,976
95k für so ein Auto... Sind die bescheuert ...übrigens das gesamte medianvermögen eines deutschen sind nur 68 000€,neutral,negative,neutral,negative,neutral,977
Cayenne’s front end is the ugliest part of that car ���,neutral,negative,neutral,negative,negative,986
Who would pay that for a Toureg?! Should have had a X5 40d or 50e. Haven't seen video yet.,neutral,negative,neutral,negative,negative,991
Who cares how the doors sound when it shut ���,positive,neutral,neutral,positive,positive,994
Totally agree with almost everything,neutral,positive,neutral,positive,positive,997
"All BMW, Mercedes, Audi and Porsche look the same both inside and outside what on earth is this new trend? Oh well, cost saving!",neutral,negative,neutral,negative,negative,998
"The Audi Q8 won,  because.",neutral,neutral,neutral,NA,positive,999
Why did they remove the night vision part,unknown,NA,NA,NA,neutral,1000
"Easy: 
1) touareg - price/value
2) porsche - best quality from vw
3) bmw - not from vw
4) audi - expensive vw with better materials, but worse reliability 
5) MB - expensive piece of unreliable ***t so cheap �",unknown,NA,NA,NA,neutral,1001
strange that BMW's win every time...lmao,unknown,NA,NA,NA,negtaive,1002
I will never choose anything over the x5,unknown,NA,NA,NA,negative,1003
